lat,long
-83.7365835,42.2778852
-83.7363766,42.2766725
-76.82094599999999,39.880714
-71.09416,42.360091
-92.3395639,42.5266507
-71.09416,42.360091
-71.1159323,42.37801229999999
-8.492310999999999,40.8676823
10.1796128,54.3279274
NA,NA
9.8012943,52.35498699999999
10.4282364,55.3689827
-122.169719,37.4274745
-78.2888349,44.3582062
-75.68313289999999,45.42310639999999
-90.3095218,38.6497172
-88.2271615,40.1019523
-88.2057792,40.1029653
-80.0206987,36.9264771
-81.7119616,28.1022491
-0.972912,54.0163174
2.2639934,48.8476037
85.28346289999999,27.6806722
-95.9759165,41.2548549
-95.40183119999999,29.7173941
-83.73659839999999,42.27734239999999
-122.0582093,36.9880503
-122.0519042,36.9970225
-93.64645159999999,42.0266573
-93.64645159999999,42.0266573
-76.476316,42.4487952
-95.251449,38.9584517
-95.2485952,38.9557464
-71.11493,42.378196
-97.1366259,49.8075008
-97.1366259,49.8075008
-80.5421904,43.4684997
-79.2476925,43.1175731
-97.1366259,49.8075008
-97.1366259,49.8075008
104.9202808,11.5433705
-63.581457,44.6313301
-97.153487,49.89125430000001
-75.6944341,45.3834118
-97.1366259,49.8075008
-75.68414369999999,45.4216958
-84.4821719,42.701848
-122.9198833,49.2780937
-73.1992228,44.4811832
